PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,B01,B02,B02_OTHER,B03,B04,B05,B05_OTHER,B06_1,B06_2,B06_3,B06_4,B06_5,B06_OTHER,B07_1,B07_2,B07_3,B07_4,B07_OTHER,B08_01,B08_02,B08_03,B08_04,B08_05,B08_06,B08_07,B08_08,B08_09,B08_10,B08_11,B08_12,B08_13,B08_14,B08_15,B08_OTHER,B09,B10,B11_01,B11_02,B11_03,B11_04,B11_05,B11_06,B11_07,B11_08,B11_09,B11_10,B11_11,B11_12,B11_13,B11_OTHER,B12,B13,B14
Kigali City,Nyarugenge,1,Urban,16,Ordinary HH,400.7663,345.8023280804907,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,1,Urban,17,Ordinary HH,400.7663,345.8023280804907,01,Electricity from REG,,,,Cement,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,,Yes,,,Yes,Yes,,,,,Yes,,,,,Category 2,Owner
Kigali City,Nyarugenge,1,Urban,19,Ordinary HH,400.7663,345.8023280804907,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,1,Urban,20,Ordinary HH,400.7663,345.8023280804907,01,Electricity from REG,,,,Cement,,,Yes,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 1,Tenant
Kigali City,Nyarugenge,2,Rural,1,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,0,0,Beaten earth,,,,,Yes,,,,,,Yes,Group saving,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,2,Ordinary HH,221.941,224.2671993195952,02,Electricity from REG,,2,1,Cement,,,,,Yes,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,3,Ordinary HH,105.421975,107.1628146221072,01,Torch/Phone,,0,0,Beaten earth,,Yes,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,No,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,4,Ordinary HH,105.421975,107.1628146221072,01,Candle,,0,0,Beaten earth,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,5,Ordinary HH,105.421975,107.1628146221072,01,Candle,,0,0,Beaten earth,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,6,Ordinary HH,105.421975,107.1628146221072,01,Solar product,,0,0,Cement,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,No,Category 3,Owner
Kigali City,Nyarugenge,2,Rural,7,Ordinary HH,105.421975,107.1628146221072,01,Candle,,0,0,Beaten earth,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,No,Category 3,Owner
Kigali City,Nyarugenge,2,Rural,8,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,0,0,Beaten earth,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,No,Category 2,Tenant
Kigali City,Nyarugenge,2,Rural,9,Ordinary HH,105.421975,107.1628146221072,02,Torch/Phone,,0,0,Beaten earth,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,No,,,,,,,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,10,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,0,0,Beaten earth,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,11,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,1,0,Beaten earth,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,12,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,0,0,Beaten earth,,,,Yes,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,Yes,Category 1,Owner
Kigali City,Nyarugenge,2,Rural,13,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,0,0,Cement,,,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,14,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,0,0,Cement,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Category 2,Tenant
Kigali City,Nyarugenge,2,Rural,15,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,1,0,Cement,,,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,No,Category 3,Tenant
Kigali City,Nyarugenge,2,Rural,16,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,1,0,Cement,,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,2,Rural,18,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,0,1,Cement,,,,Yes,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,No,Category 3,Tenant
Kigali City,Nyarugenge,2,Rural,22,Ordinary HH,221.941,224.2671993195952,01,Electricity from REG,,0,0,Cement,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,Yes,,,Yes,,,,,,,No,Category 1,Tenant
Kigali City,Nyarugenge,3,Rural,1,Ordinary HH,179.50659375,170.7883849440346,01,Torch/Phone,,0,0,Beaten earth,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,No,,,,,,,,,,,,,,,,No,Category 1,Owner
Kigali City,Nyarugenge,3,Rural,2,Ordinary HH,179.50659375,170.7883849440346,01,Oil Lamp,,0,0,Beaten earth,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,No,,,,,,,,,,,,,,,,No,Category 2,Owner
Kigali City,Nyarugenge,3,Rural,3,Ordinary HH,1566.603,1370.326394831265,01,Electricity from REG,,0,0,Beaten earth,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,No,,,,,,,,,,,,,,,,No,Category 2,Owner
Kigali City,Nyarugenge,3,Rural,4,Ordinary HH,179.50659375,170.7883849440346,01,Solar product,,0,0,Beaten earth,,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,No,Category 3,Owner
Kigali City,Nyarugenge,3,Rural,5,Ordinary HH,1566.603,1370.326394831265,01,Electricity from REG,,0,1,Cement,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,No,Category 3,Owner
Kigali City,Nyarugenge,3,Rural,6,Ordinary HH,179.50659375,170.7883849440346,01,Torch/Phone,,0,0,Beaten earth,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,No,,,,,,,,,,,,,,,,No,Category 3,Owner
Kigali City,Nyarugenge,3,Rural,7,Ordinary HH,179.50659375,170.7883849440346,01,Lantern (Agatadowa),,0,0,Beaten earth,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,No,Category 3,Owner
Kigali City,Nyarugenge,3,Rural,8,Ordinary HH,179.50659375,170.7883849440346,01,Oil Lamp,,0,1,Cement,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,No,Category 3,Owner
Kigali City,Nyarugenge,3,Rural,9,Ordinary HH,1566.603,1370.326394831265,01,Electricity from REG,,0,0,Beaten earth,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,No,,,,,,,,,,,,,,,,No,Category 2,Owner
Kigali City,Nyarugenge,3,Rural,10,Ordinary HH,1566.603,1370.326394831265,02,Electricity from REG,,1,0,Beaten earth,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,No,,,,,,,,,,,,,,,,No,Category 1,Owner
Kigali City,Nyarugenge,3,Rural,11,Ordinary HH,1566.603,1370.326394831265,02,Electricity from REG,,1,1,Cement,,,Yes,,,,,Yes,,,,,,Yes,,Yes,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,3,Rural,12,Ordinary HH,1566.603,1370.326394831265,02,Electricity from REG,,1,0,Cement,,,,,Yes,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,Yes,Category 3,Owner
Kigali City,Nyarugenge,3,Rural,13,Ordinary HH,1566.603,1370.326394831265,01,Electricity from REG,,0,1,Beaten earth,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,No,Category 3,Owner
Kigali City,Nyarugenge,3,Rural,14,Ordinary HH,179.50659375,170.7883849440346,01,Torch/Phone,,0,0,Beaten earth,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,No,,,,,,,,,,,,,,,,No,Category 1,Free lodging
Kigali City,Nyarugenge,3,Rural,15,Ordinary HH,179.50659375,170.7883849440346,02,Candle,,0,1,Beaten earth,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,No,Category 2,Free lodging
Kigali City,Nyarugenge,3,Rural,16,Ordinary HH,1566.603,1370.326394831265,01,Electricity from REG,,2,0,Cement,,,Yes,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,3,Rural,17,Ordinary HH,1566.603,1370.326394831265,02,Electricity from REG,,1,0,Bricks,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,3,Rural,18,Ordinary HH,1566.603,1370.326394831265,01,Electricity from REG,,0,0,Beaten earth,,,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,Yes,,,,,,,Yes,Category 2,Owner
Kigali City,Nyarugenge,4,Urban,1,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,4,Urban,2,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,4,Urban,3,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,,Yes,,,,,Yes,,,,,,Yes,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,4,Urban,4,Ordinary HH,262.5804,252.1639912786828,03,Electricity from REG,,,,Cement,,,,,,Yes,Don't know,,,,Yes,Doesn't know,,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,4,Urban,5,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,Yes,,,,,,,,,Yes,None,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,4,Urban,6,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Clay tiles,,,,Yes,,,,,,,Yes,None,,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,4,Urban,7,Ordinary HH,262.5804,252.1639912786828,02,Electricity from REG,,,,Cement,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,4,Urban,8,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,No,,,,,,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,4,Urban,9,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,Yes,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,,,,Yes,,,,,Category 2,Tenant
Kigali City,Nyarugenge,4,Urban,10,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,4,Urban,11,Ordinary HH,262.5804,252.1639912786828,02,Electricity from REG,,,,Clay tiles,,Yes,,,,,,Yes,,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,4,Urban,12,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Yes,,,,,Category 3,Tenant
Kigali City,Nyarugenge,4,Urban,13,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,,Yes,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,4,Urban,15,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,,,,,Category 2,Tenant
Kigali City,Nyarugenge,4,Urban,17,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,Didn't apply for a loan,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,4,Urban,19,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,,,,,Yes,Mobile money (phone),Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,4,Urban,21,Ordinary HH,262.5804,252.1639912786828,05,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,4,Urban,22,Ordinary HH,262.5804,252.1639912786828,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,5,Urban,1,Ordinary HH,35.61450627615064,34.95401376104183,01,Other (specify),Nothing,,,Cement,,,,,,Yes,Mobile money (phone),,,,Yes,None,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,,Category 3,Owner
Kigali City,Nyarugenge,5,Urban,2,Ordinary HH,35.61450627615064,34.95401376104183,01,Other (specify),Nothing,,,Beaten earth,,,Yes,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,,Category 2,Owner
Kigali City,Nyarugenge,5,Urban,3,Ordinary HH,35.61450627615064,34.95401376104183,01,Other (specify),Nothing,,,Cement,,Yes,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,5,Urban,4,Ordinary HH,35.61450627615064,34.95401376104183,02,Candle,,,,Cement,,,Yes,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,5,Urban,5,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Beaten earth,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,5,Urban,6,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,5,Urban,7,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Cement,,,Yes,,,,,Yes,,,,,,Yes,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,5,Urban,8,Ordinary HH,187.074,200.8102328927649,02,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,5,Urban,9,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,5,Urban,10,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Category 1,Tenant
Kigali City,Nyarugenge,5,Urban,11,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Cement,,,Yes,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,5,Urban,12,Ordinary HH,187.074,200.8102328927649,02,Electricity from REG,,,,Clay tiles,,,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,5,Urban,14,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,5,Urban,16,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Cement,,,,,,Yes,Mobile money (phone),Yes,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,5,Urban,17,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Cement,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,5,Urban,18,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,5,Urban,20,Ordinary HH,187.074,200.8102328927649,01,Electricity from REG,,,,Beaten earth,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,6,Urban,1,Ordinary HH,504.2603,574.4683135258695,02,Electricity from REG,,,,Clay tiles,,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Category 3,Owner
Kigali City,Nyarugenge,6,Urban,2,Ordinary HH,504.2603,574.4683135258695,01,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,6,Urban,3,Ordinary HH,504.2603,574.4683135258695,02,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,6,Urban,4,Ordinary HH,504.2603,574.4683135258695,01,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,6,Urban,5,Ordinary HH,504.2603,574.4683135258695,02,Electricity from REG,,,,Cement,,Yes,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,,Category 3,Tenant
Kigali City,Nyarugenge,6,Urban,6,Ordinary HH,504.2603,574.4683135258695,01,Electricity from REG,,,,Cement,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 2,Tenant
Kigali City,Nyarugenge,6,Urban,7,Ordinary HH,504.2603,574.4683135258695,02,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Category 2,Free lodging
Kigali City,Nyarugenge,6,Urban,8,Ordinary HH,504.2603,574.4683135258695,01,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,Category 3,Tenant
Kigali City,Nyarugenge,6,Urban,9,Ordinary HH,504.2603,574.4683135258695,01,Electricity from REG,,,,Cement,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,Category 2,Owner
Kigali City,Nyarugenge,6,Urban,10,Ordinary HH,504.2603,574.4683135258695,01,Electricity from REG,,,,Cement,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,Category 2,Tenant
